Gaze Data: (1917.0, 515.0) timestamp 6913289 ms
Gaze Data: (1912.6, 515.9) timestamp 6913320 ms
Gaze Data: (1913.7, 514.3) timestamp 6913331 ms
Gaze Data: (1933.0, 455.8) timestamp 6913350 ms
Gaze Data: (1940.3, 425.9) timestamp 6913367 ms
Gaze Data: (1943.5, 411.0) timestamp 6913378 ms
Gaze Data: (1944.1, 408.0) timestamp 6913396 ms
Gaze Data: (1945.7, 403.0) timestamp 6913408 ms
Gaze Data: (1945.4, 405.0) timestamp 6913421 ms
Gaze Data: (1945.0, 405.8) timestamp 6913444 ms
Gaze Data: (1943.9, 407.7) timestamp 6913467 ms
Gaze Data: (1943.9, 407.0) timestamp 6913483 ms
Gaze Data: (1943.2, 406.5) timestamp 6913499 ms
Gaze Data: (1943.4, 406.8) timestamp 6913513 ms
Gaze Data: (1944.9, 407.1) timestamp 6913534 ms
Gaze Data: (1946.8, 407.5) timestamp 6913548 ms
Gaze Data: (1947.6, 407.5) timestamp 6913556 ms
Gaze Data: (1947.7, 407.1) timestamp 6913574 ms
Gaze Data: (1948.4, 406.8) timestamp 6913591 ms
Gaze Data: (1946.3, 406.8) timestamp 6913625 ms
Gaze Data: (1945.9, 405.9) timestamp 6913638 ms
Gaze Data: (1945.5, 406.1) timestamp 6913648 ms
Gaze Data: (1946.3, 408.2) timestamp 6913664 ms
Gaze Data: (1950.0, 418.0) timestamp 6913678 ms
Gaze Data: (1959.9, 447.0) timestamp 6913691 ms
Gaze Data: (1960.5, 451.5) timestamp 6913708 ms
Gaze Data: (1959.6, 453.4) timestamp 6913724 ms
Gaze Data: (1959.5, 455.0) timestamp 6913740 ms
Gaze Data: (1955.6, 459.2) timestamp 6913770 ms
Gaze Data: (1953.7, 459.1) timestamp 6913781 ms
Gaze Data: (1955.2, 458.4) timestamp 6913801 ms
Gaze Data: (1956.1, 458.3) timestamp 6913813 ms
Gaze Data: (1958.8, 456.8) timestamp 6913826 ms
Gaze Data: (1960.4, 455.6) timestamp 6913844 ms
Gaze Data: (1959.0, 453.8) timestamp 6913861 ms
Gaze Data: (1958.4, 453.5) timestamp 6913873 ms
Gaze Data: (1956.7, 455.6) timestamp 6913891 ms
Gaze Data: (1957.4, 456.5) timestamp 6913921 ms
Gaze Data: (1958.3, 456.3) timestamp 6913938 ms
Gaze Data: (1966.5, 492.1) timestamp 6913948 ms
Gaze Data: (1981.2, 574.2) timestamp 6913961 ms
Gaze Data: (1979.3, 585.9) timestamp 6913979 ms
Gaze Data: (1980.8, 598.9) timestamp 6913994 ms
Gaze Data: (1979.1, 599.7) timestamp 6914006 ms
Gaze Data: (1978.9, 597.5) timestamp 6914025 ms
Gaze Data: (1978.9, 593.0) timestamp 6914039 ms
Gaze Data: (1977.7, 592.0) timestamp 6914075 ms
Gaze Data: (1979.3, 589.5) timestamp 6914088 ms
Gaze Data: (1980.3, 589.7) timestamp 6914096 ms
Gaze Data: (1980.0, 590.2) timestamp 6914114 ms
Gaze Data: (1982.4, 589.6) timestamp 6914130 ms
Gaze Data: (1984.1, 590.0) timestamp 6914142 ms
Gaze Data: (1983.4, 590.0) timestamp 6914159 ms
Gaze Data: (1981.1, 586.1) timestamp 6914173 ms
Gaze Data: (1980.3, 586.2) timestamp 6914186 ms
Gaze Data: (2030.6, 584.6) timestamp 6914367 ms
Gaze Data: (1991.7, 560.6) timestamp 6914398 ms
Gaze Data: (1989.9, 552.7) timestamp 6914411 ms
Gaze Data: (1992.4, 536.3) timestamp 6914428 ms
