Gaze Data: (1782.7, 618.2) timestamp 344379043 ms
Gaze Data: (1778.0, 616.8) timestamp 344379058 ms
Gaze Data: (1779.1, 617.2) timestamp 344379071 ms
Gaze Data: (1781.2, 618.5) timestamp 344379084 ms
Gaze Data: (1780.0, 617.9) timestamp 344379101 ms
Gaze Data: (1783.1, 619.5) timestamp 344379116 ms
Gaze Data: (1789.3, 618.0) timestamp 344379129 ms
Gaze Data: (1792.4, 613.9) timestamp 344379146 ms
Gaze Data: (1795.8, 608.2) timestamp 344379177 ms
Gaze Data: (1800.8, 608.4) timestamp 344379196 ms
Gaze Data: (1808.1, 608.1) timestamp 344379207 ms
Gaze Data: (1827.7, 612.8) timestamp 344379219 ms
Gaze Data: (1828.6, 613.4) timestamp 344379236 ms
Gaze Data: (1831.8, 610.7) timestamp 344379251 ms
Gaze Data: (1832.1, 611.6) timestamp 344379264 ms
Gaze Data: (1833.0, 611.7) timestamp 344379281 ms
Gaze Data: (1835.6, 612.5) timestamp 344379296 ms
Gaze Data: (1831.5, 608.4) timestamp 344379327 ms
Gaze Data: (1829.8, 606.9) timestamp 344379341 ms
Gaze Data: (1830.4, 606.3) timestamp 344379354 ms
Gaze Data: (1837.2, 605.7) timestamp 344379371 ms
Gaze Data: (1840.0, 603.8) timestamp 344379386 ms
Gaze Data: (1863.0, 581.4) timestamp 344379399 ms
Gaze Data: (1861.0, 581.9) timestamp 344379416 ms
Gaze Data: (1860.7, 580.0) timestamp 344379431 ms
Gaze Data: (1863.7, 576.6) timestamp 344379444 ms
Gaze Data: (1858.4, 578.0) timestamp 344379480 ms
Gaze Data: (1851.9, 583.3) timestamp 344379493 ms
Gaze Data: (1852.0, 585.2) timestamp 344379508 ms
Gaze Data: (1851.4, 587.1) timestamp 344379521 ms
Gaze Data: (1850.6, 587.0) timestamp 344379534 ms
Gaze Data: (1851.5, 587.6) timestamp 344379551 ms
Gaze Data: (1855.2, 589.0) timestamp 344379567 ms
Gaze Data: (1855.5, 588.7) timestamp 344379583 ms
Gaze Data: (1857.3, 588.6) timestamp 344379601 ms
Gaze Data: (1855.7, 584.0) timestamp 344379627 ms
Gaze Data: (1849.0, 582.4) timestamp 344379641 ms
Gaze Data: (1857.6, 585.4) timestamp 344379657 ms
Gaze Data: (1924.9, 625.5) timestamp 344379669 ms
Gaze Data: (1925.3, 622.5) timestamp 344379687 ms
Gaze Data: (1928.4, 622.6) timestamp 344379706 ms
Gaze Data: (1929.6, 625.0) timestamp 344379716 ms
Gaze Data: (1945.0, 647.0) timestamp 344379731 ms
Gaze Data: (1942.2, 645.2) timestamp 344379746 ms
Gaze Data: (1947.8, 649.7) timestamp 344379779 ms
Gaze Data: (1940.5, 645.5) timestamp 344379795 ms
Gaze Data: (1941.3, 645.9) timestamp 344379807 ms
Gaze Data: (1949.1, 646.2) timestamp 344379821 ms
Gaze Data: (1941.2, 643.8) timestamp 344379836 ms
